# idx t phi1 phi3 phi4
212 0.000022876562 160.387127649173 158.571075266628 58.571075266628
213 0.000022976562 163.671016483056 161.789210693080 61.789210693080
214 0.000023076562 166.757896079392 164.814344839756 64.814344839756
215 0.000023176562 169.646817002854 167.645530426939 67.645530426939
216 0.000023276562 172.337035941127 170.282025351800 70.282025351800
217 0.000023376562 174.828014213445 172.723290525845 72.723290525845
218 0.000023476562 177.119416097675 174.968987724885 74.968987724885
219 0.000023576562 179.211106978224 177.018977395183 77.018977395183
220 0.000023676562 181.103151317608 178.873316380018 78.873316380018
221 0.000023776562 182.795810454897 180.532255543898 80.532255543898
222 0.000023876562 184.289540234591 181.996237280034 81.996237280034
223 0.000023976562 185.584988469692 183.265892892302 83.265892892302
224 0.000024076562 186.682992243006 184.342039846727 84.342039846727
225 0.000024176562 187.584575050834 185.225678890178 85.225678890178
226 0.000024276562 188.290943793413 185.917991035832 85.917991035832
227 0.000024376562 188.803485616569 186.420334416373 86.420334416373
228 0.000024476562 189.123764609212 186.734241006874 86.734241006874
229 0.000024576562 189.253518361360 186.861413220124 86.861413220124
230 0.000024676562 189.194654387545 186.803720377736 86.803720377736
231 0.000024776562 188.949246420478 186.563195060864 86.563195060864
232 0.000024876562 188.519530579992 186.142029344776 86.142029344776
233 0.000024976562 187.907901422313 185.542570921840 85.542570921840
234 0.000025076562 187.116907874800 184.767319117802 84.767319117802
235 0.000025176562 186.149249061338 183.818920806533 83.818920806533
236 0.000025276562 185.007770023631 182.700166228672 82.700166228672
237 0.000025376562 183.695457343667 181.413984719928 81.413984719928
238 0.000025476562 182.215434672680 179.963440355109 79.963440355109
239 0.000025576562 180.570958171928 178.351727514342 78.351727514342
240 0.000025676562 178.765411870664 176.582166378421 76.582166378421
241 0.000025776562 176.802302946630 174.658198360847 74.658198360847
242 0.000025876562 174.685256934421 172.583381484871 72.583381484871
243 0.000025976562 172.418012867043 170.361385715003 70.361385715003
244 0.000026076562 170.004418355921 167.995988253872 67.995988253872
245 0.000026176562 167.448424614549 165.491068817497 65.491068817497
246 0.000026276562 164.754081430870 162.850604905036 62.850604905036
247 0.000026376562 161.925532093311 160.078667083628 60.078667083628
248 0.000026476562 158.967008275157 157.179414315679 57.179414315679
